Anno,Periodo,Sede,Presentatore,Partecipanti,Vincitore
1951-01-01,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi
1952-01-01,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,5,Nilla Pizzi
1953-01-01,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,10,Carla Boni
1954-01-01,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,12,Gino Latilla
1955-01-01,27-29 gennaio,Casinò di Sanremo,Armando Pizzo,15,Claudio Villa
1956-01-01,8-10 marzo,Casinò di Sanremo,Fausto Tommei,6,Franca Raimondi
1957-01-01,7-9 febbraio,Casinò di Sanremo,Nunzio Filogamo,17,Claudio Villa
1958-01-01,30 gennaio - 1º febbraio,Casinò di Sanremo,Gianni Agus,15,Domenico Modugno
1959-01-01,29-31 gennaio,Casinò di Sanremo,Enzo Tortora,17,Domenico Modugno
1960-01-01,28-30 gennaio,Casinò di Sanremo,Paolo Ferrari,23,Tony Dallara
1961-01-01,26 gennaio - 6 febbraio,Casinò di Sanremo,Lilli Lembo,42,Betty Curtis
1962-01-01,8-18 febbraio,Casinò di Sanremo,Renato Tagliani,45,Domenico Modugno
1963-01-01,7-9 febbraio,Casinò di Sanremo,Mike Bongiorno,21,Tony Renis
1964-01-01,30 gennaio - 1º febbraio 1964,Casinò di Sanremo,Mike Bongiorno,40,Gigliola Cinquetti
1965-01-01,28-30 gennaio,Casinò di Sanremo,Mike Bongiorno,43,Bobby Solo
1966-01-01,27-29 gennaio,Casinò di Sanremo,Mike Bongiorno,47,Domenico Modugno
1967-01-01,26-28 gennaio,Casinò di Sanremo,Mike Bongiorno,58,Claudio Villa
1968-01-01,31 gennaio - 2 febbraio,Casinò di Sanremo,Pippo Baudo,48,Sergio Endrigo
1969-01-01,30 gennaio - 1º febbraio,Casinò di Sanremo,Nuccio Costa,48,Bobby Solo
1970-01-01,26-28 febbraio,Casinò di Sanremo,Nuccio Costa,52,Adriano Celentano
1971-01-01,25-27 febbraio,Casinò di Sanremo,Carlo Giuffré,48,Nada 
1972-01-01,24-26 febbraio,Casinò di Sanremo,Mike Bongiorno,28,Nicola Di Bari 
1973-01-01,8-10 marzo,Casinò di Sanremo,Mike Bongiorno,30,Peppino di Capri
1974-01-01,7-9 marzo,Casinò di Sanremo,Corrado,28,Iva Zanicchi
1975-01-01,27 febbraio - 1º marzo 1975,Casinò di Sanremo,Mike Bongiorno,30,Gilda 
1976-01-01,19 ‒ 21 febbraio 1976,Casinò di Sanremo,Giancarlo Guardabassi,30,Peppino di Capri
1977-01-01,3-5 marzo,Teatro Ariston,Maria Giovanna Elmi,12,Homo Sapiens 
1978-01-01,26-28 gennaio,Teatro Ariston,Maria Giovanna Elmi,14,Matia Bazar
1979-01-01,11-13 gennaio,Teatro Ariston,Mike Bongiorno,22,Mino Vergnaghi
1980-01-01,7-9 febbraio,Teatro Ariston,Roberto Benigni,30,Toto Cutugno
1981-01-01,5-7 febbraio,Teatro Ariston,Claudio Cecchetto,28,Alice 
1982-01-01,28-30 gennaio,Teatro Ariston,Claudio Cecchetto,30,Riccardo Fogli
1983-01-01,3-5 febbraio,Teatro Ariston,Andrea Giordana,36,Tiziana Rivale
1984-01-01,2-4 febbraio,Teatro Ariston,Pippo Baudo,36,Al Bano
1985-01-01,7 - 9 febbraio,Teatro Ariston,Pippo Baudo,38,Ricchi e Poveri
1986-01-01,13-15 febbraio 1986,Teatro Ariston,Loretta Goggi,36,Eros Ramazzotti
1987-01-01,4 - 7 febbraio,Teatro Ariston,Pippo Baudo,40,Gianni Morandi
1988-01-01,24 - 27 febbraio,Teatro Ariston,Miguel Bosé,42,Massimo Ranieri
1989-01-01,21 - 25 febbraio,Teatro Ariston,Rosita Celentano,48,Anna Oxa
1990-01-01,28 febbraio - 3 marzo,Sanremo,Gabriella Carlucci,36,Pooh
1991-01-01,27 febbraio - 2 marzo,Teatro Ariston,Andrea Occhipinti,36,Riccardo Cocciante
1992-01-01,26 - 29 febbraio,Teatro Ariston,Pippo Baudo,42,Luca Barbarossa
1993-01-01,23 - 27 febbraio,Teatro Ariston,Pippo Baudo,42,Enrico Ruggeri
1994-01-01,23 - 26 febbraio,Teatro Ariston,Pippo Baudo,38,Aleandro Baldi
1995-01-01,21 - 25 febbraio,Teatro Ariston,Pippo Baudo,39,Giorgia 
1996-01-01,20 - 24 febbraio,Teatro Ariston,Pippo Baudo,37,Ron
1997-01-01,18 - 22 febbraio,Teatro Ariston,Mike Bongiorno,41,Jalisse
1998-01-01,24 - 28 febbraio,Teatro Ariston,Raimondo Vianello,28,Annalisa Minetti
1999-01-01,23 - 27 febbraio,Teatro Ariston,Fabio Fazio,28,Anna Oxa
2000-01-01,21 - 26 febbraio,Teatro Ariston,Fabio Fazio,34,Piccola Orchestra Avion Travel
2001-01-01,26 febbraio - 3 marzo,Teatro Ariston,Raffaella Carrà,32,Elisa 
2002-01-01,5 - 9 marzo,Teatro Ariston,Pippo Baudo,36,Matia Bazar
2003-01-01,4 - 8 marzo,Teatro Ariston,Pippo Baudo,36,Alexia
2004-01-01,2 - 6 marzo,Teatro Ariston,Simona Ventura,22,Marco Masini
2005-01-01,1º - 5 marzo,Teatro Ariston,Paolo Bonolis,32,Francesco Renga
2006-01-01,27 febbraio - 4 marzo,Teatro Ariston,Giorgio Panariello,30,Povia
2007-01-01,27 febbraio - 3 marzo,Teatro Ariston,Pippo Baudo,34,Simone Cristicchi
2008-01-01,25 febbraio - 1º marzo,Teatro Ariston,Pippo Baudo,34,Giò Di Tonno
2009-01-01,17 - 21 febbraio,Teatro Ariston,Paolo Bonolis,26,Marco Carta
2010-01-01,16 - 20 febbraio,Teatro Ariston,Antonella Clerici,25,Valerio Scanu
2011-01-01,15 - 19 febbraio,Teatro Ariston,Gianni Morandi,22,Roberto Vecchioni
2012-01-01,14 - 18 febbraio,Teatro Ariston,Gianni Morandi,22,Emma Marrone
2013-01-01,12 - 16 febbraio,Teatro Ariston,Fabio Fazio,22,Marco Mengoni
2014-01-01,18 - 22 febbraio,Teatro Ariston,Fabio Fazio,22,Arisa
2015-01-01,10 - 14 febbraio,Teatro Ariston,Carlo Conti,28,Il Volo 
2016-01-01,9 - 13 febbraio,Teatro Ariston,Carlo Conti,28,Stadio 
2017-01-01,7 - 11 febbraio,Teatro Ariston,Carlo Conti,30,Francesco Gabbani
2018-01-01,6 - 10 febbraio,Teatro Ariston,Claudio Baglioni,28,Ermal Meta
2019-01-01,5 - 9 febbraio,Teatro Ariston,Claudio Baglioni,24,Mahmood
2020-01-01,4 - 8 febbraio,Teatro Ariston,Amadeus,32,Diodato 
2021-01-01,2 - 6 marzo,Teatro Ariston,Amadeus,34,Måneskin
2022-01-01,1º-5 febbraio,Teatro Ariston,Amadeus,25,Mahmood
2023-01-01,7-11 febbraio,Teatro Ariston,Amadeus,28,Marco Mengoni
